Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
seg1[3]_reg_p_D_OAI21X0P5H7L_Y_B0_NAND2BX0P5H7L_Y,1.2,1.295e-06,0.000e+00,1.304e-09,1.296e-06
rom_BUFX16H7L_A,1.2,1.270e-06,0.000e+00,1.028e-08,1.280e-06
seg1[2]_reg_p_D_OAI22X0P5H7L_Y_A0_NAND2BX0P5H7L_Y,1.2,1.229e-06,0.000e+00,1.304e-09,1.231e-06
seg1[5]_reg_p_D_OAI21X0P5H7L_Y_A1_NAND2BX0P5H7L_Y,1.2,1.226e-06,0.000e+00,1.304e-09,1.228e-06
seg0[5]_reg_p_D_OAI31X0P5H7L_Y_A2_NAND2BX0P5H7L_Y,1.2,1.226e-06,0.000e+00,1.304e-09,1.227e-06
seg0[7]_reg_p_D_OAI22X0P5H7L_Y_A1_NAND2BX0P5H7L_Y,1.2,1.226e-06,0.000e+00,1.304e-09,1.227e-06
seg0[6]_reg_p_D_AOAI211X0P5H7L_Y_A1_NAND2BX0P5H7L_Y,1.2,1.224e-06,0.000e+00,1.304e-09,1.226e-06
gpr[1]_5__MUX4X3H7L_B_Y_BUFX5H7L_A,1.2,1.218e-06,0.000e+00,3.242e-09,1.222e-06
gpr[1]_0__MUX4X3H7L_B_Y_BUFX5H7L_A,1.2,1.212e-06,0.000e+00,3.242e-09,1.216e-06
gpr[1]_6__MUX4X1P4H7L_B_Y_NOR2X0P5H7L_B_Y_INVX0P5H7L_A_Y_NAND2X0P5H7L_B,1.2,1.154e-06,0.000e+00,5.740e-10,1.155e-06
pc[2]_reg_p_D_MUX2X0P5H7L_Y_A_XNOR2X0P5H7L_Y_B_NAND2X0P5H7L_Y,1.2,1.151e-06,0.000e+00,5.252e-10,1.152e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_AOI31X2H7L_B0_Y_NOR2X0P5H7L_A,1.2,1.142e-06,0.000e+00,5.583e-10,1.142e-06
seg1[7]_reg_p_D_OAI21X0P5H7L_Y_B0_AOAI211X0P5H7L_Y_B0_NOR3X0P5H7L_Y,1.2,1.093e-06,0.000e+00,6.810e-10,1.093e-06
seg0[1]_reg_p_D_OAI32X0P5H7L_Y_B0_OAI21X0P5H7L_Y_B0_NAND2X0P5H7L_Y,1.2,1.039e-06,0.000e+00,5.487e-10,1.040e-06
gpr[1]_4__MUX4X1P4H7L_B_Y_BUFX3P5H7L_A,1.2,8.892e-07,0.000e+00,2.371e-09,8.916e-07
gpr[1]_6__MUX4X1P4H7L_B_1_Y_BUFX3H7L_A,1.2,8.518e-07,0.000e+00,2.153e-09,8.540e-07
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_NOR2X1H7L_B,1.2,8.276e-07,0.000e+00,6.840e-10,8.283e-07
seg1[4]_reg_p_D_AOI21X0P5H7L_Y_B0_AOI211X0P5H7L_Y_A1_NOR2BX1P4H7L_Z,1.2,8.105e-07,0.000e+00,1.494e-09,8.120e-07
seg1[7]_reg_p_D_OAI21X0P5H7L_Y_B0_AOAI211X0P5H7L_Y_A1_NOR2BX1P4H7L_Z,1.2,8.051e-07,0.000e+00,1.494e-09,8.066e-07
seg1[1]_reg_p_D_OAI31X0P5H7L_Y_B0_OAI21X0P5H7L_Y_A0_NOR2BX1H7L_Z,1.2,7.952e-07,0.000e+00,1.431e-09,7.966e-07
