Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
buffer_1__reg_p_D_MUX2X0P5H7L_Y,1.2,3.638e-06,0.000e+00,2.070e-09,3.640e-06
buffer_2__reg_p_D_MUX2X0P5H7L_Y,1.2,3.520e-06,0.000e+00,2.066e-09,3.523e-06
buffer_7__reg_p_D_MUX2X0P5H7L_Y,1.2,3.362e-06,0.000e+00,2.023e-09,3.364e-06
buffer_5__reg_p,1.2,3.314e-06,0.000e+00,6.647e-09,3.320e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_AND2X6H7L_A,1.2,3.285e-06,0.000e+00,3.034e-09,3.289e-06
buffer_6__reg_p,1.2,3.116e-06,0.000e+00,6.622e-09,3.123e-06
count_3__reg_p_D_AOI21X0P5H7L_Y_A1_AOAI211X0P5H7L_Y,1.2,3.024e-06,0.000e+00,6.153e-10,3.025e-06
buffer_4__reg_p_D_MUX2X0P5H7L_Y,1.2,2.938e-06,0.000e+00,2.032e-09,2.940e-06
segT0[5]_reg_p_D_OAOI211X0P5H7L_Y_B0_AOI21X0P5H7L_Y_A1_AOAI211X0P5H7L_Y,1.2,2.857e-06,0.000e+00,6.914e-10,2.857e-06
count_2__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y,1.2,2.794e-06,0.000e+00,3.144e-09,2.798e-06
buffer_9__reg_p,1.2,2.574e-06,0.000e+00,6.626e-09,2.581e-06
count_2__reg_p,1.2,2.569e-06,0.000e+00,6.503e-09,2.576e-06
buffer_8__reg_p_D_MUX2X0P5H7L_Y,1.2,2.505e-06,0.000e+00,2.039e-09,2.507e-06
count_3__reg_p_D_AOI21X0P5H7L_Y_A0_NAND2X0P5H7L_Y_B_OAI2XB1X0P5H7L_Y,1.2,2.396e-06,0.000e+00,1.587e-09,2.397e-06
SegT0.in_1__reg_p,1.2,2.378e-06,0.000e+00,6.602e-09,2.384e-06
buffer_0__NOR4BX4H7L_D,1.2,2.352e-06,0.000e+00,1.840e-09,2.354e-06
buffer_3__reg_p_D_MUX2X0P5H7L_Y_S0_NAND3X0P5H7L_Y,1.2,2.245e-06,0.000e+00,3.282e-10,2.245e-06
SegT0.in_3__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.239e-06,0.000e+00,3.089e-09,2.242e-06
SegT1.in_1__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.229e-06,0.000e+00,3.089e-09,2.232e-06
SegT1.in_1__reg_p,1.2,2.081e-06,0.000e+00,6.513e-09,2.087e-06
SegT0.in_3__reg_p,1.2,2.081e-06,0.000e+00,6.513e-09,2.087e-06
count_3__reg_p_D_AOI21X0P5H7L_Y,1.2,2.041e-06,0.000e+00,7.042e-10,2.041e-06
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_OAI21X0P5H7L_A0_A1_NAND2X0P5H7L_Y,1.2,2.023e-06,0.000e+00,4.877e-10,2.024e-06
over_reg_p_D_NOR4X0P5H7L_Y_C_NOR2X0P5H7L_A,1.2,2.003e-06,0.000e+00,5.561e-10,2.004e-06
buffer_5__reg_p_D_MUX2X0P5H7L_Y,1.2,1.955e-06,0.000e+00,2.131e-09,1.957e-06
over_reg_p_D_NOR4X0P5H7L_Y,1.2,1.885e-06,0.000e+00,2.572e-10,1.886e-06
buffer_6__reg_p_D_MUX2X0P5H7L_Y,1.2,1.838e-06,0.000e+00,2.106e-09,1.840e-06
count_1__reg_p,1.2,1.787e-06,0.000e+00,6.287e-09,1.793e-06
SegT1.in_0__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,1.747e-06,0.000e+00,3.146e-09,1.750e-06
segT1[1]_reg_p_D_OAI31X1H7L_Y_A2_NOR2X0P5H7L_Y,1.2,1.698e-06,0.000e+00,5.854e-10,1.698e-06
SegT0.in_2__reg_p,1.2,1.685e-06,0.000e+00,6.513e-09,1.691e-06
SegT0.in_2__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,1.680e-06,0.000e+00,3.089e-09,1.683e-06
SegT1.in_0__reg_p,1.2,1.660e-06,0.000e+00,6.490e-09,1.666e-06
count_0__reg_p,1.2,1.590e-06,0.000e+00,6.417e-09,1.596e-06
buffer_9__MUX2X0P5H7L_B,1.2,1.526e-06,0.000e+00,2.110e-09,1.528e-06
fifo[1]_7__NOR2BX4H7L_AN,1.2,1.458e-06,0.000e+00,2.655e-09,1.460e-06
segT0[1]_reg_p_D_OAO211X0P5H7L_Y_A1_OAI32X0P5H7L_Y_B1_AOI2BB1X0P5H7L_Y,1.2,1.325e-06,0.000e+00,1.645e-09,1.327e-06
buffer_7__reg_p_D_MUX2X0P5H7L_Y_S0_NAND2BX0P5H7L_Y,1.2,1.274e-06,0.000e+00,1.385e-09,1.275e-06
